№ п.п.;Тип ЗРИ;Изготовитель (сокращенное наименование);Изготовитель код ОКПО;Вид излучения;Информация о радионуклиде в составе ЗРИ;;;;;;;;Категория потенциальной опасности ЗРИ ;;Минимальная активность;Максимальная активность;НСС, лет;Чертеж (изображение);Класс прочности ;;Размеры,мм;;;;;;;;;;Дополнительная информация;;;;;;Тип капсулы, модель
615;БИП-30;"ФГУП ""ПО Маяк""";07622740;бета;прометий-147;Pm-147;бета;2,64;лет;1;10000000;40;5;нет;;5900000000;5;приложение БИП-30 изображение;ИСО «/99/С 24141»;ГОСТ Р 52241 (ИСО 2919).;;;3;;40;;;;;;Представляет собой крышку и корпус с зафиксированной клеем эмалированной подложкой, на рабочую поверхность которой нанесена активная часть в виде препарата с радионуклидом прометий-147 и зафиксирована защитным покрытием из диоксида титана или пиролитического хрома. Крышка и корпус соединяются точечной сваркой.;Радиоизотопные приборы, генераторы ионов, нейтрализаторы статического напряжения;Внешнее бетаизлучение, (1,25 – 63)e7 с-1;Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978) методом сухого мазка, предел прохождения – 185 Бк;;"Каталог ФГУП ""ПО Маяк""";
616;БИП-40;"ФГУП ""ПО Маяк""";07622740;бета;прометий-147;Pm-147;бета;2,64;лет;1;10000000;40;5;нет;;11000000000;5;приложение БИП-40 изображение;ИСО «/99/С 24141»;ГОСТ Р 52241 (ИСО 2919).;;;3;;50;;;;;;Представляет собой крышку и корпус с зафиксированной клеем эмалированной подложкой, на рабочую поверхность которой нанесена активная часть в виде препарата с радионуклидом прометий-147 и зафиксирована защитным покрытием из диоксида титана или пиролитического хрома. Крышка и корпус соединяются точечной сваркой.;Радиоизотопные приборы, генераторы ионов, нейтрализаторы статического напряжения;Внешнее бетаизлучение, (1,25 – 80)e7 с-1;Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978) методом сухого мазка, предел прохождения – 185 Бк;;"Каталог ФГУП ""ПО Маяк""";
617;БИП-50;"ФГУП ""ПО Маяк""";07622740;бета;прометий-147;Pm-147;бета;2,64;лет;1;10000000;40;5;нет;;11000000000;5;приложение БИП-50 изображение;ИСО «/99/С 24141»;ГОСТ Р 52241 (ИСО 2919).;;;3;;60;;;;;;Представляет собой крышку и корпус с зафиксированной клеем эмалированной подложкой, на рабочую поверхность которой нанесена активная часть в виде препарата с радионуклидом прометий-147 и зафиксирована защитным покрытием из диоксида титана или пиролитического хрома. Крышка и корпус соединяются точечной сваркой.;Радиоизотопные приборы, генераторы ионов, нейтрализаторы статического напряжения;Внешнее бетаизлучение, (1,25 – 80)e7 с-1;Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978) методом сухого мазка, предел прохождения – 185 Бк;;"Каталог ФГУП ""ПО Маяк""";
618;БИП-Р1;"ФГУП ""ПО Маяк""";07622740;бета;прометий-147;Pm-147;бета;2,64;лет;1;10000000;40;5;нет;;1100000000;5;приложение БИП-Р1 изображение;ИСО «/99/С 24141»;ГОСТ Р 52241 (ИСО 2919).;;;3;;;;;;;;Представляет собой крышку и корпус с зафиксированной клеем эмалированной подложкой, на рабочую поверхность которой нанесена активная часть в виде препарата с радионуклидом прометий-147 и зафиксирована защитным покрытием из диоксида титана или пиролитического хрома. Крышка и корпус соединяются точечной сваркой.;Радиоизотопные приборы, генераторы ионов, нейтрализаторы статического напряжения;Внешнее бетаизлучение, 7,6e7 с-1;Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978) методом сухого мазка, предел прохождения – 185 Бк;;"Каталог ФГУП ""ПО Маяк""";
619;БИП-Р2;"ФГУП ""ПО Маяк""";07622740;бета;прометий-147;Pm-147;бета;2,64;лет;1;10000000;40;5;нет;;3000000000;5;приложение БИП-Р2 изображение;ИСО «/99/С 24141»;ГОСТ Р 52241 (ИСО 2919).;;;3;;;;;;;;Представляет собой крышку и корпус с зафиксированной клеем эмалированной подложкой, на рабочую поверхность которой нанесена активная часть в виде препарата с радионуклидом прометий-147 и зафиксирована защитным покрытием из диоксида титана или пиролитического хрома. Крышка и корпус соединяются точечной сваркой.;Радиоизотопные приборы, генераторы ионов, нейтрализаторы статического напряжения;Внешнее бетаизлучение, 3,1e8 с-1;Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978) методом сухого мазка, предел прохождения – 185 Бк;;"Каталог ФГУП ""ПО Маяк""";
620;БИП-К1;"ФГУП ""ПО Маяк""";07622740;бета;прометий-147;Pm-147;бета;2,64;лет;1;10000000;40;5;нет;;450000000;5;приложение БИП-К1 изображение;ИСО «/99/С 24141»;ГОСТ Р 52241 (ИСО 2919).;60;10;3;;;;;;;;Представляет собой крышку и корпус с зафиксированной клеем эмалированной подложкой, на рабочую поверхность которой нанесена активная часть в виде препарата с радионуклидом прометий-147 и зафиксирована защитным покрытием из диоксида титана или пиролитического хрома. Крышка и корпус соединяются точечной сваркой.;Радиоизотопные приборы, генераторы ионов, нейтрализаторы статического напряжения;Внешнее бетаизлучение, 3,6e7 с-1;Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978) методом сухого мазка, предел прохождения – 185 Бк;;"Каталог ФГУП ""ПО Маяк""";
621;БИП-К2;"ФГУП ""ПО Маяк""";07622740;бета;прометий-147;Pm-147;бета;2,64;лет;1;10000000;40;5;нет;;1900000000;5;приложение БИП-К1 изображение;ИСО «/99/С 24141»;ГОСТ Р 52241 (ИСО 2919).;63;29;3;;;;;;;;Представляет собой крышку и корпус с зафиксированной клеем эмалированной подложкой, на рабочую поверхность которой нанесена активная часть в виде препарата с радионуклидом прометий-147 и зафиксирована защитным покрытием из диоксида титана или пиролитического хрома. Крышка и корпус соединяются точечной сваркой.;Радиоизотопные приборы, генераторы ионов, нейтрализаторы статического напряжения;Внешнее бетаизлучение, 1,7e8 с-1;Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978) методом сухого мазка, предел прохождения – 185 Бк;;"Каталог ФГУП ""ПО Маяк""";
622;БИП-7;"ФГУП ""ПО Маяк""";07622740;бета;прометий-147;Pm-147;бета;2,64;лет;1;10000000;40;5;нет;;740000000;5;приложение БИП-7 изображение;ИСО «/99/С 24141»;ГОСТ Р 52241 (ИСО 2919).;;;19;;12,7;;;;;;Представляет собой крышку и корпус с зафиксированной клеем эмалированной подложкой, на рабочую поверхность которой нанесена активная часть в виде препарата с радионуклидом прометий-147 и зафиксирована защитным покрытием из диоксида титана или пиролитического хрома. Крышка и корпус соединяются точечной сваркой.;Радиоизотопные приборы, генераторы ионов, нейтрализаторы статического напряжения;Внешнее бетаизлучение, 1,9e7 с-1;Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978) методом сухого мазка, предел прохождения – 185 Бк;;"Каталог ФГУП ""ПО Маяк""";
623;БИП-М;"ФГУП ""ПО Маяк""";07622740;бета;прометий-147;Pm-147;бета;2,64;лет;1;10000000;40;5;нет;;370000000;5;приложение БИП-М изображение;ИСО «/99/С 24141»;ГОСТ Р 52241 (ИСО 2919).;;;7;;6;;;;;;Представляет собой крышку и корпус с зафиксированной клеем эмалированной подложкой, на рабочую поверхность которой нанесена активная часть в виде препарата с радионуклидом прометий-147 и зафиксирована защитным покрытием из диоксида титана или пиролитического хрома. Крышка и корпус соединяются точечной сваркой.;Радиоизотопные приборы, генераторы ионов, нейтрализаторы статического напряжения;Внешнее бетаизлучение, 7e7 с-1;Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978) методом сухого мазка, предел прохождения – 185 Бк;;"Каталог ФГУП ""ПО Маяк""";
624;БИП 50х150;"ФГУП ""ПО Маяк""";07622740;бета;прометий-147;Pm-147;бета;2,64;лет;1;10000000;40;5;нет;;52000000000;5;приложение БИП 50х150 изображение;ИСО «/99/С 24141»;ГОСТ Р 52241 (ИСО 2919).;160;60;5;;;;;;;;Представляет собой крышку и корпус с зафиксированной клеем эмалированной подложкой, на рабочую поверхность которой нанесена активная часть в виде препарата с радионуклидом прометий-147 и зафиксирована защитным покрытием из диоксида титана или пиролитического хрома. Крышка и корпус соединяются точечной сваркой.;Радиоизотопные приборы, генераторы ионов, нейтрализаторы статического напряжения;Внешнее бетаизлучение, (6,0 – 12)e8 с-1;Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978) методом сухого мазка, предел прохождения – 185 Бк;;"Каталог ФГУП ""ПО Маяк""";
625;БИП-Н-1;"ФГУП ""ПО Маяк""";07622740;бета;прометий-147;Pm-147;бета;2,64;лет;1;10000000;40;5;нет;;4000000000;10;приложение БИП-Н-1 изображение;ИСО «/99/С 34141»;ГОСТ Р 52241 (ИСО 2919);70,95;35,8;2,8;;;;;;;;Состоят из стальной эмалированной подложки, на рабочую поверхность которой нанесена активная часть в виде препарата с радионуклидом прометий-147 и зафиксирована защитным покрытием из диоксида титана;Радиоизотопные приборы, генераторы ионов, нейтрализаторы статического напряжения;Внешнее бета- излучение источника (не менее), 4,1e8 с-1;Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978) методом сухого мазка, предел прохождения – 185 Бк;;"Каталог ФГУП ""ПО Маяк""";
626;БИП-Н-2;"ФГУП ""ПО Маяк""";07622740;бета;прометий-147;Pm-147;бета;2,64;лет;1;10000000;40;5;нет;;20000000000;10;приложение БИП-Н-2 изображение;ИСО «/99/С 34141»;ГОСТ Р 52241 (ИСО 2919);70,95;35,8;2,8;;;;;;;;Состоят из стальной эмалированной подложки, на рабочую поверхность которой нанесена активная часть в виде препарата с радионуклидом прометий-147 и зафиксирована защитным покрытием из диоксида титана;Радиоизотопные приборы, генераторы ионов, нейтрализаторы статического напряжения;Внешнее бета- излучение источника (не менее), 1,2e9 с-1;Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978) методом сухого мазка, предел прохождения – 185 Бк;;"Каталог ФГУП ""ПО Маяк""";
627;БИС-Р;"ФГУП ""ПО Маяк""";07622740;бета;стройнций-90 + иттрий-90;Sr-90 + Y-90; бета; 28.78;лет;1;10000;1;5;нет;;6000000000;3,5;приложение БИС-Р изображение;С 34444; ГОСТ 25926 (ИСО 2919);;;10;;22;;;;;;Состоят из подложки с нанесенным на нее препаратом с радионуклидами стронций-90+иттрий-90, помещенной между корпусом и крышкой источника. Источники герметизируются с помощью клея и фольги из алюминиевых сплавов;Радиоизотопные приборы.;Внешнее бета-излучение источника, (6,4±2,2)e8 с-1;Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978) иммерсионным методом, предел прохождения – 200 Бк;;"Каталог ФГУП ""ПО Маяк""";
628;БИС-К;"ФГУП ""ПО Маяк""";07622740;бета;стройнций-90 + иттрий-90;Sr-90 + Y-90; бета; 28.78;лет;1;10000;1;5;нет;;2300000000;3,5;приложение БИС-К изображение;С 34444; ГОСТ 25926 (ИСО 2919);;;4;;85;;;;;;Состоят из подложки с нанесенным на нее препаратом с радионуклидами стронций-90+иттрий-90, помещенной между корпусом и крышкой источника. Источники герметизируются с помощью клея и фольги из алюминиевых сплавов;Радиоизотопные приборы.;Внешнее бета-излучение источника, (2,80±1,00)e8 с-1;Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978) иммерсионным методом, предел прохождения – 200 Бк;;"Каталог ФГУП ""ПО Маяк""";
629;БИС-6А;"ФГУП ""ПО Маяк""";07622740;бета;стройнций-90 + иттрий-90;Sr-90 + Y-90; бета; 28.78;лет;1;10000;1;5;нет;;1200000000;3,5;приложение БИС-6А изображение;С 34444; ГОСТ 25926 (ИСО 2919);;;12,5;;11;;;;;;Состоят из подложки с нанесенным на нее препаратом с радионуклидами стронций-90+иттрий-90, помещенной между корпусом и крышкой источника. Источники герметизируются с помощью клея и фольги из алюминиевых сплавов;Радиоизотопные приборы.;Внешнее бета-излучение источника, (1,10±0,50)e8с-1;Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978) иммерсионным методом, предел прохождения – 200 Бк;;"Каталог ФГУП ""ПО Маяк""";
630;БИС-Ф;"ФГУП ""ПО Маяк""";07622740;бета;стройнций-90 + иттрий-90;Sr-90 + Y-90; бета; 28.78;лет;1;10000;1;5;нет;;740000000;3,5;приложение БИС-Ф изображение;С 34444; ГОСТ 25926 (ИСО 2919);;;4;;108;;;;;;Состоят из подложки с нанесенным на нее препаратом с радионуклидами стронций-90+иттрий-90, помещенной между корпусом и крышкой источника. Источники герметизируются с помощью клея и фольги из алюминиевых сплавов;Радиоизотопные приборы.;Внешнее бета-излучение источника, (8,3±4,0)e7 с-1;Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978) иммерсионным методом, предел прохождения – 200 Бк;;"Каталог ФГУП ""ПО Маяк""";
631;1CO;"ФГУП ""ПО Маяк""";07622740;бета;стройнций-90 + иттрий-90;Sr-90 + Y-90; бета; 28.78;лет;1;10000;1;5;нет;13;3200000;10;приложение 1CO изображение;ИСО «/99/С 22212;ГОСТ Р 52241 (ИСО 2919);;;1,5;;35;;;;1;12;Представляют собой подложку толщиной 1,5±0,2 мм, на рабочую поверхность которой (углубление) нанесен слой радиоактивного препарата, защищенный алюминевой фольгой.;Для проверки и градуировки радиометрической аппаратуры в качестве мер активности радионуклидов;;Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978) методом влажного мазка cо всей поверхности, предел прохождения – 10 Бк;;"Каталог ФГУП ""ПО Маяк""";
632;2CO;"ФГУП ""ПО Маяк""";07622740;бета;стройнций-90 + иттрий-90;Sr-90 + Y-90; бета; 28.78;лет;1;10000;1;5;нет;21;13000000;10;приложение 2CO изображение;ИСО «/99/С 22212;ГОСТ Р 52241 (ИСО 2919);;;1,5;;52;;;;4;22;Представляют собой подложку толщиной 1,5±0,2 мм, на рабочую поверхность которой (углубление) нанесен слой радиоактивного препарата, защищенный алюминевой фольгой.;Для проверки и градуировки радиометрической аппаратуры в качестве мер активности радионуклидов;;Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978) методом влажного мазка cо всей поверхности, предел прохождения – 10 Бк;;"Каталог ФГУП ""ПО Маяк""";
633;3CO;"ФГУП ""ПО Маяк""";07622740;бета;стройнций-90 + иттрий-90;Sr-90 + Y-90; бета; 28.78;лет;1;10000;1;5;нет;80;32000000;10;приложение 3CO изображение;ИСО «/99/С 22212;ГОСТ Р 52241 (ИСО 2919);;;1,5;;66;;;;10;36;Представляют собой подложку толщиной 1,5±0,2 мм, на рабочую поверхность которой (углубление) нанесен слой радиоактивного препарата, защищенный алюминевой фольгой.;Для проверки и градуировки радиометрической аппаратуры в качестве мер активности радионуклидов;;Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978) методом влажного мазка cо всей поверхности, предел прохождения – 10 Бк;;"Каталог ФГУП ""ПО Маяк""";
634;4CO;"ФГУП ""ПО Маяк""";07622740;бета;стройнций-90 + иттрий-90;Sr-90 + Y-90; бета; 28.78;лет;1;10000;1;5;нет;210;130000000;10;приложение 4CO изображение;ИСО «/99/С 22212;ГОСТ Р 52241 (ИСО 2919);;;1,5;;101;;;;40;71;Представляют собой подложку толщиной 1,5±0,2 мм, на рабочую поверхность которой (углубление) нанесен слой радиоактивного препарата, защищенный алюминевой фольгой.;Для проверки и градуировки радиометрической аппаратуры в качестве мер активности радионуклидов;;Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978) методом влажного мазка cо всей поверхности, предел прохождения – 10 Бк;;"Каталог ФГУП ""ПО Маяк""";
635;5CO;"ФГУП ""ПО Маяк""";07622740;бета;стройнций-90 + иттрий-90;Sr-90 + Y-90; бета; 28.78;лет;1;10000;1;5;нет;80;210000000;10;приложение 5CO изображение;ИСО «/99/С 22212;ГОСТ Р 52241 (ИСО 2919);;;1,5;;143;;;;100;113;Представляют собой подложку толщиной 1,5±0,2 мм, на рабочую поверхность которой (углубление) нанесен слой радиоактивного препарата, защищенный алюминевой фольгой.;Для проверки и градуировки радиометрической аппаратуры в качестве мер активности радионуклидов;;Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978) методом влажного мазка cо всей поверхности, предел прохождения – 10 Бк;;"Каталог ФГУП ""ПО Маяк""";
636;6CO;"ФГУП ""ПО Маяк""";07622740;бета;стройнций-90 + иттрий-90;Sr-90 + Y-90; бета; 28.78;лет;1;10000;1;5;нет;80;210000000;10;приложение 6CO изображение;ИСО «/99/С 22212;ГОСТ Р 52241 (ИСО 2919);;;135;;185;;105;;160;155;Представляют собой подложку толщиной 1,5±0,2 мм, на рабочую поверхность которой (углубление) нанесен слой радиоактивного препарата, защищенный алюминевой фольгой.;Для проверки и градуировки радиометрической аппаратуры в качестве мер активности радионуклидов;;Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978) методом влажного мазка cо всей поверхности, предел прохождения – 10 Бк;;"Каталог ФГУП ""ПО Маяк""";
637;БИС-10;"ФГУП ""ПО Маяк""";07622740;бета;стройнций-90 + иттрий-90;Sr-90 + Y-90; бета; 28.78;лет;1;10000;1;4;нет;;44000000000;5;приложение БИС-10 изображение;ИСО «/99/С 53343»;ГОСТ Р 52241 (ИСО 2919);;;10;;22;;;;;;Капсула с активной частью в виде эмали, гранулы на основе цеолита или стеклоплава, насыщенной радионуклидами стронций-90+иттрий-90;Приборы контроля и регулирования технологических процессов;Номинальное внешнее бетаизлучение источника, (0,8 – 200)e7 с-1;контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978) иммерсионным методом, предел прохождения – 200 Бк;;"Каталог ФГУП ""ПО Маяк""";
638;БИС-20;"ФГУП ""ПО Маяк""";07622740;бета;стройнций-90 + иттрий-90;Sr-90 + Y-90; бета; 28.78;лет;1;10000;1;4;нет;;2,2E+11;5;приложение БИС-20 изображение;ИСО «/99/С 53343»;ГОСТ Р 52241 (ИСО 2919);;;15;;36;;;;;;Капсула с активной частью в виде эмали, гранулы на основе цеолита или стеклоплава, насыщенной радионуклидами стронций-90+иттрий-90;Приборы контроля и регулирования технологических процессов;Номинальное внешнее бетаизлучение источника, (0,8 – 200)e7 с-1;контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978) иммерсионным методом, предел прохождения – 200 Бк;;"Каталог ФГУП ""ПО Маяк""";
639;БИС-30;"ФГУП ""ПО Маяк""";07622740;бета;стройнций-90 + иттрий-90;Sr-90 + Y-90; бета; 28.78;лет;1;10000;1;4;нет;;2,3E+11;5;приложение БИС-30 изображение;ИСО «/99/С 33343»;ГОСТ Р 52241 (ИСО 2919);;;15;;46;;;;;;Капсула с активной частью в виде эмали, гранулы на основе цеолита или стеклоплава, насыщенной радионуклидами стронций-90+иттрий-90;Приборы контроля и регулирования технологических процессов;Номинальное внешнее бетаизлучение источника, (0,8 – 200)e7 с-1;контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978) иммерсионным методом, предел прохождения – 200 Бк;;"Каталог ФГУП ""ПО Маяк""";
640;БИС-40;"ФГУП ""ПО Маяк""";07622740;бета;стройнций-90 + иттрий-90;Sr-90 + Y-90; бета; 28.78;лет;1;10000;1;4;нет;;2,3E+11;5;приложение БИС-40 изображение;ИСО «/99/С 33343»;ГОСТ Р 52241 (ИСО 2919);;;16;;58;;;;;;Капсула с активной частью в виде эмали, гранулы на основе цеолита или стеклоплава, насыщенной радионуклидами стронций-90+иттрий-90;Приборы контроля и регулирования технологических процессов;Номинальное внешнее бетаизлучение источника, (0,8 – 200)e7 с-1;контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978) иммерсионным методом, предел прохождения – 200 Бк;;"Каталог ФГУП ""ПО Маяк""";
641;БИС-50;"ФГУП ""ПО Маяк""";07622740;бета;стройнций-90 + иттрий-90;Sr-90 + Y-90; бета; 28.78;лет;1;10000;1;4;нет;;2,3E+11;5;приложение БИС-50 изображение;ИСО «/99/С 33343»;ГОСТ Р 52241 (ИСО 2919);;;16;;70;;;;;;Капсула с активной частью в виде эмали, гранулы на основе цеолита или стеклоплава, насыщенной радионуклидами стронций-90+иттрий-90;Приборы контроля и регулирования технологических процессов;Номинальное внешнее бетаизлучение источника, (0,8 – 200)e7 с-1;контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978) иммерсионным методом, предел прохождения – 200 Бк;;"Каталог ФГУП ""ПО Маяк""";
642;БИС-МНА-1;"ФГУП ""ПО Маяк""";07622740;бета;стройнций-90 + иттрий-90;Sr-90 + Y-90; бета; 28.78;лет;1;10000;1;5;нет;;185000000;12;приложение БИС-МНА-1 изображение;ИСО «/99/С 55443»;ГОСТ Р 52241 (ИСО 2919);;;8;;6;;;;;;Капсула с активной частью в виде гранулы боросиликатного стекла, цеолита, насыщенной радионуклидами стронций-90+иттрий-90;Радиоизотопные приборы с повышенными эксплуатационными требованиями по температуре и вибрации;Внешнее бета- излучение источника, (4,8 – 8,0)e6 с-1;"Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978): а) пузырьковым методом, предел прохождения – отсутствие пузырьков; б) иммерсионным методом, предел прохождения – 200 Бк";;"Каталог ФГУП ""ПО Маяк""";
643;БИС-МНА-2;"ФГУП ""ПО Маяк""";07622740;бета;стройнций-90 + иттрий-90;Sr-90 + Y-90; бета; 28.78;лет;1;10000;1;5;нет;;750000000;12;приложение БИС-МНА-2 изображение;ИСО «/99/С 55443»;ГОСТ Р 52241 (ИСО 2919);;;8;;6;;;;;;Капсула с активной частью в виде гранулы боросиликатного стекла, цеолита, насыщенной радионуклидами стронций-90+иттрий-90;Радиоизотопные приборы с повышенными эксплуатационными требованиями по температуре и вибрации;Внешнее бета- излучение источника, (1,6 – 2,3)e7 с-1;"Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978): а) пузырьковым методом, предел прохождения – отсутствие пузырьков; б) иммерсионным методом, предел прохождения – 200 Бк";;"Каталог ФГУП ""ПО Маяк""";
644;БИС-МНБ-1;"ФГУП ""ПО Маяк""";07622740;бета;стройнций-90 + иттрий-90;Sr-90 + Y-90; бета; 28.78;лет;1;10000;1;5;нет;;185000000;12;приложение БИС-МНБ-1 изображение;ИСО «/99/С 55443»;ГОСТ Р 52241 (ИСО 2919);;;8;;6;;;;;;Капсула с активной частью в виде гранулы боросиликатного стекла, цеолита, насыщенной радионуклидами стронций-90+иттрий-90;Радиоизотопные приборы с повышенными эксплуатационными требованиями по температуре и вибрации;Внешнее бета- излучение источника, (4,8 – 8,0)e6 с-1;"Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978): а) пузырьковым методом, предел прохождения – отсутствие пузырьков; б) иммерсионным методом, предел прохождения – 200 Бк";;"Каталог ФГУП ""ПО Маяк""";
645;БИС-МНБ-2;"ФГУП ""ПО Маяк""";07622740;бета;стройнций-90 + иттрий-90;Sr-90 + Y-90; бета; 28.78;лет;1;10000;1;5;нет;;750000000;12;приложение БИС-МНБ-2 изображение;ИСО «/99/С 55443»;ГОСТ Р 52241 (ИСО 2919);;;8;;6;;;;;;Капсула с активной частью в виде гранулы боросиликатного стекла, цеолита, насыщенной радионуклидами стронций-90+иттрий-90;Радиоизотопные приборы с повышенными эксплуатационными требованиями по температуре и вибрации;Внешнее бета- излучение источника, (1,6 – 2,3)e7 с-1;"Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978): а) пузырьковым методом, предел прохождения – отсутствие пузырьков; б) иммерсионным методом, предел прохождения – 200 Бк";;"Каталог ФГУП ""ПО Маяк""";
646;БИC-4AН;"ФГУП ""ПО Маяк""";07622740;бета;стройнций-90 + иттрий-90;Sr-90 + Y-90; бета; 28.78;лет;1;10000;1;5;нет;;930000000;8;приложение БИC-4AН изображение;ИСО «/99/С 54443»;ГОСТ Р 52241 (ИСО 2919);;;12;;10,2;;;;;;Капсула с активной частью в виде гранулы на основе цеолита, насыщенной радионуклидами стронций-90+иттрий-90.;Радиоизотопные приборы с повышенными эксплуатационными требованиями по температуре;Внешнее бета- излучение источника, (2,0 – 3,2)e7 с-1;"Контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978): а) пузырьковым методом, предел прохождения – отсутствие пузырьков; б) иммерсионным методом, предел прохождения – 200 Бк";;"Каталог ФГУП ""ПО Маяк""";
647;БИС-1;"ФГУП ""ПО Маяк""";07622740;бета;стройнций-90 + иттрий-90;Sr-90 + Y-90; бета; 28.78;лет;1;10000;1;5;нет;;900000000;2,5;приложение БИС-1 изображение;ИСО “/99/C 34443;ГОСТ Р 52241 (ИСО 2919);;;19;;12,7;;;;;;Капсула с активной частью в виде эмали, гранулы на основе цеолита или стеклоплава, насыщенной радионуклидами стронций-90+иттрий-90;Радиоизотопные приборы;Внешнее бетаизлучение источника, (2,70 ± 1,20)e7 с-1;контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978) иммерсионным методом, предел прохождения – 200 Бк;;"Каталог ФГУП ""ПО Маяк""";
648;БИС-2;"ФГУП ""ПО Маяк""";07622740;бета;стройнций-90 + иттрий-90;Sr-90 + Y-90; бета; 28.78;лет;1;10000;1;5;нет;;33000000;2,5;приложение БИС-2 изображение;ИСО “/99/C 34443;ГОСТ Р 52241 (ИСО 2919);;;19;;12,7;;;;;;Капсула с активной частью в виде эмали, гранулы на основе цеолита или стеклоплава, насыщенной радионуклидами стронций-90+иттрий-90;Радиоизотопные приборы;Внешнее бетаизлучение источника, (1,00 ± 0,40)e6 с-1;контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978) иммерсионным методом, предел прохождения – 200 Бк;;"Каталог ФГУП ""ПО Маяк""";
649;БИС-МН-2;"ФГУП ""ПО Маяк""";07622740;бета;стройнций-90 + иттрий-90;Sr-90 + Y-90; бета; 28.78;лет;1;10000;1;5;нет;;1100000000;2,5;приложение БИС-МН-2 изображение; ИСО «/99/С 55443»;ГОСТ Р 52241 (ИСО 2919);;;7,5;;6;;;;;;Капсула с активной частью в виде эмали, гранулы на основе цеолита или стеклоплава, насыщенной радионуклидами стронций-90+иттрий-90;Радиоизотопные приборы;Внешнее бетаизлучение источника, (3,80 ± 1,30)e7 с-1;контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978) иммерсионным методом, предел прохождения – 200 Бк;;"Каталог ФГУП ""ПО Маяк""";
650;БИС-МН-4;"ФГУП ""ПО Маяк""";07622740;бета;стройнций-90 + иттрий-90;Sr-90 + Y-90; бета; 28.78;лет;1;10000;1;5;нет;;1100000000;2,5;приложение БИС-МН-4 изображение; ИСО «/99/С 55443»;ГОСТ Р 52241 (ИСО 2919);;;7,5;;6;;;;;;Капсула с активной частью в виде эмали, гранулы на основе цеолита или стеклоплава, насыщенной радионуклидами стронций-90+иттрий-90;Радиоизотопные приборы;Внешнее бетаизлучение источника, (3,80 ± 1,30)e7 с-1;контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978) иммерсионным методом, предел прохождения – 200 Бк;;"Каталог ФГУП ""ПО Маяк""";
651;БИС-М-ЛА;"ФГУП ""ПО Маяк""";07622740;бета;стройнций-90 + иттрий-90;Sr-90 + Y-90; бета; 28.78;лет;1;10000;1;4;нет;;11100000000;2,5;приложение БИС-М-ЛА изображение; ИСО «/99/С 55443»;ГОСТ Р 52241 (ИСО 2919);;;7,5;;6;;;;;;Капсула с активной частью в виде эмали, гранулы на основе цеолита или стеклоплава, насыщенной радионуклидами стронций-90+иттрий-90;Радиоизотопные приборы;Внешнее бетаизлучение источника, (2,2 ± 1,00)e8 с-1;контроль герметичности производится в соответствии с ГОСТ Р 51919 (ИСО 9978) иммерсионным методом, предел прохождения – 200 Бк;;"Каталог ФГУП ""ПО Маяк""";
